s_m,x_center_m,y_center_m,heading_rad,curvature_1pm,x_left_m,y_left_m,x_right_m,y_right_m
310.06141372406415,134.0,200.0,0.0,0.0,134.0,204.0,134.0,196.0
312.082483670934,136.0,200.0,0.0,0.0,136.0,204.0,136.0,196.0
314.0914984008807,138.0,200.0,0.0,0.0,138.0,204.0,138.0,196.0
316.093444827552,140.0,200.0,0.0,0.0,140.0,204.0,140.0,196.0
318.0946577439283,142.0,200.0,0.0,0.0,142.0,204.0,142.0,196.0
320.1001256397154,144.0,200.0,0.0,0.0,144.0,204.0,144.0,196.0
322.1130316277254,146.0,200.0,0.0,0.0,146.0,204.0,146.0,196.0
324.1354084202474,148.0,200.0,0.0,0.0,148.0,204.0,148.0,196.0
327.9655538536189,151.99666833293657,199.9000833055605,-0.10000000000000009,-0.05,152.3960019995239,203.88009996667262,151.59733466634924,195.9200666444484
329.79705581638535,153.97338661590123,199.60133155682485,-0.19999999999999996,-0.05,154.7680639390815,203.52159786818982,153.17870929272098,195.68106524545988
331.6843671808396,155.9104041332268,199.1067297825121,-0.30000000000000004,-0.05,157.09248495987214,202.92807573901453,154.72832330658144,195.28538382600968
333.62823181652755,157.788366846173,198.4212198800577,-0.3999999999999999,-0.05,159.3460402154076,202.10546385606924,156.2306934769384,194.73697590404615
335.6282890777723,159.58851077208405,197.55165123780745,-0.5,-0.05,161.50621292650087,201.06198148536893,157.67080861766723,194.04132099024596
337.6832403052423,161.2928494679007,196.50671229819358,-0.6,-0.05,163.55141936148084,199.80805475783228,159.03427957432058,193.20536983855487
339.79096116571196,162.8843537447538,195.29684374568976,-0.7,-0.05,165.46122449370458,198.3562124948277,160.30748299580304,192.2374749965518
341.9486603813176,164.34712181799046,193.9341341869433,-0.8,-0.05,167.21654618158854,196.72096102433198,161.47769745439237,191.14730734955464
344.15276530725754,165.66653819254967,192.43219936541328,-0.9,-0.05,168.7998458310596,194.91863923849593,162.53323055403973,189.94575949233064
346.3996740144041,166.82941969615794,190.8060461173628,-1.0,-0.05,170.19530363538954,192.96725534083535,163.46353575692635,188.64483689389024
348.6835283578267,167.8241472012287,189.07192242851156,-1.1,-0.05,171.38897664147444,190.88630691421386,164.25931776098295,187.25753794280925
351.0040028627548,168.64078171934452,187.24715508953346,-1.2,-0.05,172.36893806321342,188.69658610744017,164.9126253754756,185.79772407162676
353.34500446542745,169.27116370834386,185.34997657249176,-1.3,-0.05,173.12539645001263,186.4199718869901,165.4169309666751,184.2799812579934
355.777879684012,169.7089945997692,183.39934285800481,-1.4,-0.05,173.65079351972304,184.07921142960578,165.76719567981536,182.71947428640385
358.6750880620704,169.9498997320811,181.41474403335405,-1.5,-0.05,173.9398796784973,181.69769284002487,165.95991978566488,181.13179522668324
364.2269051046242,170.0999166944395,178.00333166706343,4.812388980384689,0.05,174.0799333555516,178.40266533365076,166.11990003332738,177.6039980004761
367.2170476496577,170.39866844317515,176.02661338409877,4.91238898038469,0.05,174.31893475454012,176.82129070727902,166.47840213181018,175.2319360609185
369.8731121858972,170.89327021748787,174.0895958667732,5.0123889803846895,0.05,174.7146161739903,175.27167669341856,167.07192426098544,172.90751504012786
372.5059765724212,171.57878011994228,172.211633153827,5.11238898038469,0.05,175.26302409595382,173.7693065230616,167.89453614393074,170.6539597845924
375.12668737679854,172.44834876219255,170.41148922791595,5.21238898038469,0.05,175.95867900975404,172.32919138233277,168.93801851463107,168.49378707349913
377.52134526836096,173.49328770180642,168.7071505320993,5.312388980384689,0.05,176.79463016144513,170.96572042567942,170.19194524216772,166.44858063851916
379.56647626227107,174.70315625431024,167.1156462552462,5.41238898038469,0.05,177.7625250034482,169.69251700419696,171.6437875051723,164.53877550629542
381.28617804009997,176.0658658130567,165.65287818200954,5.5123889803846895,0.05,178.85269265044536,168.52230254560763,173.27903897566802,162.78345381841146
382.94942087669034,177.56780063458672,164.33346180745033,5.61238898038469,0.05,180.05424050766936,167.46676944596027,175.08136076150407,161.2001541689404
384.7952846770502,179.1939538826372,163.1705803038421,5.71238898038469,0.05,181.35516310610976,166.53646424307368,177.03274465916465,159.8046963646105
386.8766870352196,180.92807757148844,162.1758527987713,5.812388980384689,0.05,182.74246205719075,165.74068223901705,179.11369308578614,158.61102335852556
389.18019166249576,182.75284491046654,161.35921828065548,5.91238898038469,0.05,184.20227592837324,165.0873746245244,181.30341389255983,157.63106193678658
391.5828976161256,184.65002342750824,160.72883629165614,6.0123889803846895,0.05,185.7200187420066,164.5830690333249,183.5800281130099,156.87460354998737
394.21519823991474,186.60065714199519,160.2910054002308,6.11238898038469,0.05,187.28052571359615,164.23280432018464,185.92078857039422,156.34920648027696
397.0375882973467,188.58525596664595,160.0501002679189,6.21238898038469,0.05,188.86820477331676,164.04008021433512,188.30230715997513,156.0601203215027
402.1729428099852,191.99666833293657,159.9000833055605,-0.10000000000000009,-0.05,192.3960019995239,163.88009996667262,191.59733466634924,155.9200666444484
405.0716315921118,193.97338661590123,159.60133155682485,-0.19999999999999996,-0.05,194.7680639390815,163.52159786818982,193.17870929272098,155.68106524545988
407.5422680410577,195.9104041332268,159.1067297825121,-0.30000000000000004,-0.05,197.09248495987214,162.92807573901453,194.72832330658144,155.28538382600968
409.9471530075049,197.788366846173,158.4212198800577,-0.3999999999999999,-0.05,199.3460402154076,162.10546385606924,196.2306934769384,154.73697590404615
412.3507988337857,199.58851077208405,157.55165123780745,-0.5,-0.05,201.50621292650087,161.06198148536893,197.67080861766723,154.04132099024596
414.70127674955705,201.2928494679007,156.50671229819358,-0.6,-0.05,203.55141936148084,159.80805475783228,199.03427957432058,153.20536983855487
416.9750644247532,202.8843537447538,155.29684374568976,-0.7,-0.05,205.46122449370458,158.3562124948277,200.30748299580304,152.2374749965518
419.1369492358009,204.34712181799046,153.9341341869433,-0.8,-0.05,207.21654618158854,156.72096102433198,201.47769745439237,151.14730734955464
421.16029961724666,205.66653819254967,152.43219936541328,-0.9,-0.05,208.7998458310596,154.91863923849593,202.53323055403973,149.94575949233064
423.029898768262,206.82941969615794,150.8060461173628,-1.0,-0.05,210.19530363538954,152.96725534083535,203.46353575692635,148.64483689389024
424.75391105490854,207.8241472012287,149.07192242851156,-1.1,-0.05,211.38897664147444,150.88630691421386,204.25931776098295,147.25753794280925
426.38202364945204,208.64078171934452,147.24715508953346,-1.2,-0.05,212.36893806321342,148.69658610744017,204.9126253754756,145.79772407162676
428.0002727457673,209.27116370834386,145.34997657249176,-1.3,-0.05,213.12539645001263,146.4199718869901,205.4169309666751,144.2799812579934
429.68200228915134,209.7089945997692,143.39934285800481,-1.4,-0.05,213.65079351972304,144.07921142960578,205.76719567981536,142.71947428640385
431.4664218155278,209.9498997320811,141.41474403335405,-1.5,-0.05,213.9398796784973,141.69769284002487,205.95991978566488,141.13179522668324
434.9059899775628,210.0,138.0,-1.5707963267948966,0.0,214.0,138.0,206.0,138.0
437.1024941052021,210.0,136.0,-1.5707963267948966,0.0,214.0,136.0,206.0,136.0
439.3115635215028,210.0,134.0,-1.5707963267948966,0.0,214.0,134.0,206.0,134.0
441.51372352822375,210.0,132.0,-1.5707963267948966,0.0,214.0,132.0,206.0,132.0
443.69047370802394,210.0,130.0,-1.5707963267948966,0.0,214.0,130.0,206.0,130.0
445.8266289357774,210.0,128.0,-1.5707963267948966,0.0,214.0,128.0,206.0,128.0
