s_m,x_path_m,y_path_m,x_left_m,y_left_m,x_right_m,y_right_m,offset_m,curvature_1pm,speed_mps,speed_kph,gear,rpm,ax_mps2,ay_mps2,limit
116.01373369953049,-3.4569539474369457,116.0,-4.0,116.0,4.0,116.0,3.4569539474369457,-0.004921234898230241,40.1484059408907,144.53426138720653,2,15063.328069414541,-8.809779494720118,-7.932511463670058,corner
118.01967987630412,-3.30273757156648,118.0,-4.0,118.0,4.0,118.0,3.30273757156648,-0.005181502656741004,39.71146052204202,142.96125787935128,2,14899.389999189896,-8.585835909781963,-8.171230191217385,corner
120.02689778918685,-3.1327428506318857,120.0,-4.0,120.0,4.0,120.0,3.1327428506318857,-0.005441770415251767,39.280813794104525,141.4109296587763,2,14737.815142282923,-8.362285044074042,-8.39655560731385,corner
122.03540685233644,-2.94809686697524,122.0,-4.0,122.0,4.0,122.0,2.94809686697524,-0.00570203817376253,38.85665150202959,139.88394540730653,2,14578.673188562365,-8.13962548766824,-8.609161700897332,corner
124.04520181317947,-2.7499267029386227,124.0,-4.0,124.0,4.0,124.0,2.7499267029386227,-0.005962305932273293,38.439145721726774,138.38092459821638,2,14422.02869939292,-7.918280653643478,-8.809711997505739,corner
126.05625468438386,-2.5393594408641125,126.0,-4.0,126.0,4.0,126.0,2.5393594408641125,-0.006222573690784055,38.02845668331006,136.90244405991623,2,14267.94179170121,-7.6986005734790695,-8.998859057901281,corner
128.06851670121645,-2.317522163093786,128.0,-4.0,128.0,4.0,128.0,2.317522163093786,-0.006482841449294818,37.62473473993813,135.44904506377725,2,14116.468876667264,-7.480862842791936,-9.177244318682746,corner
130.08192025918498,-2.0855419519697227,130.0,-4.0,130.0,4.0,130.0,2.0855419519697227,-0.0067431092078055815,37.22812254781198,134.02124117212313,2,13967.663477640419,-7.265272596587977,-9.34549830489003,corner
132.0963808434003,-1.8445458898340021,132.0,-4.0,132.0,4.0,132.0,1.8445458898340021,-0.007003376966316344,36.83875752118696,132.61952707627307,2,13821.577151238218,-7.051961323197929,-9.50424125084789,corner
134.11179894539865,-1.5956610590287008,134.0,-4.0,134.0,4.0,134.0,1.5956610590287008,-0.007263644724827108,36.45677464389402,131.24438871801848,2,13678.260542204383,-6.840984256031874,-9.654084181293241,corner
136.1280619684346,-1.340014541895898,136.0,-4.0,136.0,4.0,136.0,1.340014541895898,-0.00752391248333787,36.082309738078,129.8963150570808,2,13537.76460981061,-6.6323159794542335,-9.795630523247189,corner
138.14504612139655,-1.0787334207776729,138.0,-4.0,138.0,4.0,138.0,1.0787334207776729,-0.007784180241848633,35.715503319354255,128.5758119496753,2,13400.142074277377,-6.425843743357689,-9.929478344523158,corner
140.16261830229465,-0.8129447780161034,140.0,-4.0,140.0,4.0,140.0,0.8129447780161034,-0.008044448000359396,35.35650520707784,127.28341874548022,2,13265.449146506302,-6.221357777516033,-10.056223349316696,corner
142.18063797251622,-0.5437756959532667,142.0,-4.0,142.0,4.0,142.0,0.5437756959532667,-0.008304715758870158,35.00548011428998,126.01972841144394,2,13133.74762537879,-6.018537599224658,-10.176462809425592,corner
144.19895902336222,-0.2723532569312441,144.0,-4.0,144.0,4.0,144.0,0.2723532569312441,-0.008564983517380923,34.66261452165932,124.78541227797356,2,13005.107476798205,-5.816932862116573,-10.290800677696943,corner
146.21743163659704,0.00019545670788900793,146.0,-4.0,146.0,4.0,146.0,-0.00019545670788900793,-0.008825251275891685,34.328125255438906,123.58125091958006,2,12879.610052063736,-5.615936610114005,-10.39985422843853,corner
148.23590414091547,0.2727433626220508,148.0,-4.0,148.0,4.0,148.0,-0.2727433626220508,-0.009085519034402448,34.00227036060999,122.40817329819598,2,12757.352167378122,-5.447965410246596,-10.504262714109396,corner
152.23959701598366,0.8526279396681383,151.9669440311442,-3.9568057596928092,152.15942404607827,4.036795093595014,151.83950937258518,-0.8132838130218065,-0.00934578679291321,33.3706931991655,120.13449551699581,2,12520.389982677823,-5.439231863456797,-10.407497748198033,corner
154.219525196862,1.2355134449211207,153.90950275764263,-3.8272921403414406,154.31539347433534,4.147121510079514,153.67607592258196,-1.0790498784775782,-0.009606054551423973,33.04268976394083,118.95368315018699,2,12397.325984571436,-5.423343297893069,-10.488076206007092,corner
156.18840680594934,1.6902372377462878,155.82515917470798,-3.611666336108778,156.46445919360167,4.330802750722151,155.5067615352903,-1.3403076709693984,-0.009866322309934736,32.72259515038563,117.80134254138827,1,15856.041649541947,-5.269376724193961,-10.564544509727439,corner
158.14630053226307,2.2141817988680694,157.71164957208953,-3.3102733022838575,158.6031831571693,4.5875449647211575,157.32863750425534,-1.595930333552122,-0.010126590068445499,32.41037909827206,116.67736475377941,1,15704.754421153828,-5.1176691082347645,-10.637301076946743,corner
160.09331731903424,2.804689119235849,159.56696314448257,-2.9235952034270456,160.72814386293334,4.916937419302887,159.13878921657283,-1.8447910092806001,-0.010386857826956263,32.10602553245939,115.58169191685381,1,15557.277034548826,-4.967751342964107,-10.706740594195072,corner
162.02962263576225,3.4590819116007565,161.38934001589706,-2.452250642009599,162.83594182706528,5.318453156806637,160.9343208156482,-2.085762841209692,-0.010647125585467026,31.809538204394578,114.51433753582049,1,15413.611307525898,-4.819064384607941,-10.773259109353983,corner
163.9554388381002,4.174684507357007,163.17726769840033,-1.8969936687816262,164.92320502246216,5.7914498377045405,162.71235983394925,-2.317718972394254,-0.010907393343977789,31.520947660258788,113.47541157693163,1,15273.772041524802,-4.670936185723264,-10.837260347089872,corner
165.8710476098228,4.948843333808998,164.92947601227286,-1.2587125764518046,166.98659427327036,6.335170768207723,164.47006178834144,-2.539532545889136,-0.011167661102488551,31.240320049312633,112.46515217752548,1,15137.791289792729,-4.522549280415717,-10.89916369127713,corner
167.77679247823255,5.778946868948705,166.6449305011413,-0.5384284786084828,169.02280859685484,6.948746110814996,166.20461473065413,-2.7500767047491896,-0.011427928860999314,30.967768512752368,111.48396664590852,1,15005.723875961852,-4.372894713530997,-10.959414480651033,corner
169.67308139105972,6.662444973133985,168.3228243820509,0.26270632384420267,171.02859048466715,7.6311942758672835,167.91324374619794,-2.948224592029282,-0.011688196619510077,30.70346824580087,110.53248568488314,1,14877.654692527341,-4.220705447915648,-11.018497577401305,corner
171.56038933950106,7.596867499741471,169.9625690766946,1.1434101861219763,173.000731113564,8.381423491881684,169.593215393036,-3.1328493507842587,-0.01194846437802084,30.447676891204235,109.61163680833525,1,14753.708582708197,-4.064357914477782,-11.07695567015978,corner
173.43926100757946,8.579842089917912,171.56378337610306,2.1022741699186565,174.93607547924006,9.19823355215293,171.24184207490822,-3.3028241240689766,-0.012208732136531602,30.200762864413317,108.72274631188795,1,14634.06406568074,-3.9017221865633758,-11.135414606786933,corner
175.31031342592598,9.609111059961602,173.12628129700028,3.137764297406909,176.8315274435618,10.080317734828109,172.8564863408119,-3.457022054938294,-0.012468999895042366,29.963245851339483,107.86768506482214,1,14518.972960147532,-3.729925415667239,-11.194619500956723,corner
177.17423859696967,10.682547293620235,174.65005869372123,4.248224005275538,178.6840546877277,11.026264893382866,174.43456510436064,-3.594316286447059,-0.012729267653553129,29.735856736685427,107.04908425206754,1,14408.789423174465,-3.544960321603156,-11.255488012520987,corner
179.0318060768886,11.798169055680857,176.1352786950554,5.431876794877374,180.49069356333192,12.0345617141548,175.97355377617166,-3.7135799616501313,-0.012989535412063892,29.519630142774663,106.27066851398878,1,14304.014790752099,-3.340996370753146,-11.319192397416927,corner
180.88386542268535,12.9541536476386,177.5822560405977,6.686829074248205,182.2485538335692,13.103595137322547,177.47099030267003,-3.8136862236023656,-0.013249803170574654,29.316055422521977,105.53779952107912,1,14205.370742861462,-3.109064173428777,-11.387292987026411,corner
182.7313486335367,14.148849830949086,178.99144039614734,8.011073187449904,183.95482329699732,14.231654937457327,178.92447910484955,-3.8935082153586134,-0.013510070929085417,29.127342093946762,104.85843153820835,1,14113.927922267294,-2.8342340812843076,-11.461971972636919,corner
184.57527206099513,15.38078894838071,180.36339873236736,9.402490626391664,185.60677228645955,15.416936459518826,180.33169491068776,-3.951919079973729,-0.01377033868759618,28.95693943542619,104.24498196753429,1,14031.357709291291,-2.4883864036806926,-11.546488773019568,corner
186.4167389490921,16.648694679270083,181.69879685529787,10.858855419991121,187.20175803596976,16.657543505918362,181.69038647508535,-3.9877919605025767,-0.014030606446106944,28.81074083634903,103.7186670108565,1,13960.515801263566,-2.0045820337788314,-11.64622817509619,corner
188.25694038363469,17.951491370030386,182.99838018137805,12.37783769525306,188.73722890857422,17.951491370030386,182.99838018137805,-4.0,-0.014290874204617707,28.700914077715773,103.32329067977679,1,13907.29821105961,-0.8581046173052584,-11.772,corner
190.09715507316284,19.288286543698515,184.26298101160262,13.957007404569362,190.2107284784264,19.296710011299826,184.25358351865952,-3.987379870046402,-0.014060810104361863,28.700914077715773,103.32329067977679,1,13907.29821105961,1.051525428664661,-11.582486430050817,corner
191.93868813881323,20.659386933161635,185.49228692006457,15.593838213276669,191.61989946054433,20.691047366865313,185.4539884293526,-3.95030938264499,-0.013830746004106019,28.835584247243183,103.80810329007546,1,13972.55390997848,2.3094129925881077,-11.500139703748054,corner
193.7827783506095,22.06561645719511,186.6852118696546,17.285711541253008,192.96248748196376,22.132272794400713,186.59767452167284,-3.88997339148484,-0.013600681903850175,28.995996723840943,104.38558820582739,1,14050.283286219907,2.6557614751143177,-11.435015756539986,corner
195.6305699455617,23.507710590753522,187.84046002941346,19.029920752087346,194.23634468825392,23.618080640667,187.68281214184591,-3.8075567502550256,-0.013370617803594331,29.173661330244553,105.02518078888039,1,14136.372344433,2.904835981338252,-11.379766445249018,corner
197.48311525092728,24.98629645021385,188.95653513066472,20.82367548312046,195.43943317962643,25.146093930065575,188.70766530116325,-3.7042443126446214,-0.013140553703338487,29.3643939532025,105.71181823152901,1,14228.793633137298,3.1031319633075185,-11.330674128085466,corner
199.34137624173485,26.501873719939017,190.03175129142224,22.664106109429973,196.56982827114027,26.713868167292198,189.67059445319356,-3.5812209323427022,-0.012910489603082644,29.565770954496752,106.43677543618831,1,14326.372755609309,3.2710162774815927,-11.285508403745558,corner
201.20622722612816,28.05479651528196,191.06424524430136,24.548268334618047,197.62572157178718,28.318895248007966,190.5700591167076,-3.4396714630383403,-0.0126804255028268,29.776272597981986,107.19458135273516,1,14428.373309387503,3.41942374854095,-11.24280013867964,corner
203.07845735883123,29.64525627269066,192.0519898974867,26.47314790105755,198.60542387753125,29.95860747127125,191.40462034011924,-3.280780758420615,-0.012450361402570956,29.994903170560352,107.98165141401726,1,14534.31281231305,3.55492032390282,-11.201518143633391,corner
204.9587734306962,31.273265752795364,192.99280915291786,28.435665412061255,199.5073678736754,31.630381647311438,192.17294300350127,-3.105733672178598,-0.012220297302315112,30.220994735194388,108.7955810466998,1,14643.86760920406,3.6817473122015514,-11.16090167716662,corner
206.8478027140051,32.93864423727752,193.88439390076084,30.43268125825963,200.3301106422302,33.33154329407302,192.8737979544924,-2.9157150580013647,-0.011990233202059268,30.45409528990824,109.63474304366966,1,14756.818678246353,3.802792929686561,-11.120364803620065,corner
208.7460958796651,34.641003994953344,194.7243191044592,32.461000640306096,201.0723359702751,35.0593709158163,193.5060639746788,-2.7119097695779857,-0.011760169101803424,30.693900518770402,110.49804186757345,1,14873.018560289378,3.9201065251932903,-11.079437935135603,corner
210.65412993230677,36.37973808687256,195.51006188621483,34.51737867987441,201.73285645561813,36.811100356930055,194.06872957330435,-2.4955026605975426,-0.01153010500154758,30.940209983627753,111.38475594105991,1,14992.370131138381,4.035192428264452,-11.037730244495028,corner
212.57231113771493,38.154009574353886,196.239020518652,36.59852561077187,202.31061540638635,38.58392922399085,194.5608946054402,-2.2676785847491066,-0.011300040901291736,31.192897882567273,112.29443237724219,1,15114.812432291657,4.149187742488408,-10.994904521757828,corner
214.50097791494608,39.96274218777321,196.90853422467956,38.70111204186337,202.80468853150708,40.37502136899472,194.98177171202454,-2.0296223957217516,-0.011069976801035894,31.451892904101985,113.22681445476715,1,15240.310909096606,4.262974748874939,-10.950659800554055,corner
216.44040367235763,41.80461250760986,197.51590368420096,40.82177428338699,203.21428541937684,42.18151142658892,195.33068757946916,-1.7825189472045535,-0.01083991270078005,31.71716397143851,114.18179029717864,1,15368.850503000327,4.3772544564344145,-10.904719014702211,corner
218.3907995706386,43.67804370276142,198.05841214333586,42.95711972814014,203.53875080235105,44.00050939804531,195.60708401681757,-1.5275530928865861,-0.010609848600524207,31.988709912090844,115.15935568352704,1,15500.43064586368,4.492596057421679,-10.856820007434875,corner
220.35231720021372,45.58120086448068,198.5333470192249,45.10373227892728,203.77756560503255,45.82910527464176,195.81051884873145,-1.265909686456924,-0.010379784500268363,32.26655180376855,116.15958649356678,1,15635.061551089339,4.60947090299544,-10.806708828554477,corner
222.32505116404863,47.51198796749229,198.93802189129576,47.258177813586734,203.93034777468148,47.66437369305536,195.9406666228768,-0.9987735816046426,-0.010149720400012519,32.550727177944765,117.18261784060115,1,15772.761404906072,1.217275410648,-10.75413462397992,corner
224.30904156018983,49.46804648293386,199.26979876808318,49.41700967885357,203.9968528924182,49.50337861531971,195.99731913057843,-0.7273296320188161,-0.009919656299756675,32.41307412055257,116.68706683398926,1,15706.06031958058,-3.417508528482884,-10.421664055518729,corner
226.85439890404012,52.0,199.62174891097206,52.0,204.0,52.0,196.0,-0.37825108902794113,-0.009689592199500831,32.02512374703772,115.29044548933578,1,15518.075312519355,-4.883906134204523,-9.937728615637683,corner
228.87345512497558,54.0,199.89859261449598,54.0,204.0,54.0,196.0,-0.10140738550401274,-0.009459528099244987,31.71706984620171,114.18145144632616,1,15368.8048937304,-4.8774997470657695,-9.51602531649727,corner
230.89257072905968,56.0,200.17586968368818,56.0,204.0,56.0,196.0,0.17586968368818656,-0.009229463998989143,31.404079088257934,113.05468471772856,1,15217.142274336356,-4.894645868190068,-9.102246759740577,corner
232.91158338406854,58.0,200.452395027862,58.0,204.0,58.0,196.0,0.4523950278619857,-0.0089993998987333,31.0876519696758,111.91554709083289,1,15063.814534032612,-5.083728219846975,-8.697398981757793,corner
234.93033205693052,60.0,200.7269835563307,60.0,204.0,60.0,196.0,0.7269835563307137,-0.008769335798477456,30.74349716866519,110.67658980719469,1,14897.051084078988,-5.759935361669136,-8.288448382810751,corner
236.9486590633465,62.0,200.9984501784077,62.0,204.0,62.0,196.0,0.9984501784076993,-0.008539271698221612,30.330452363086177,109.18962850711024,1,14696.9063336309,-6.6504351577901275,-7.855586357019391,corner
238.96641212137052,64.0,201.26560980340628,64.0,204.0,64.0,196.0,1.265609803406269,-0.008309207597965768,29.857665036351428,107.48759413086515,1,14467.812781923603,-7.3907977570195555,-7.40749373073143,corner
240.9834464112476,66.0,201.52727734063976,66.0,204.0,66.0,196.0,1.5272773406397553,-0.008079143497709926,29.330815219773196,105.59093479118351,1,14212.52274162191,-8.02191435505938,-6.950460663256279,corner
242.9996266436243,68.0,201.78226769942148,68.0,204.0,68.0,196.0,1.7822676994214817,-0.007849079397454082,28.753659861592226,103.51317550173202,1,13932.856677377433,-8.567017641541426,-6.489406570886027,corner
245.01482913800237,70.0,202.02939578906478,70.0,204.0,70.0,196.0,2.0293957890647825,-0.007619015297198237,28.12870167847501,101.26332604251004,1,13630.027304120593,-9.041090002334315,-6.0283466784989095,corner
