s_m,x_path_m,y_path_m,offset_m,curvature_1pm,speed_mps,ax_mps2,ay_mps2
51.0,0.4217185174256344,51.00000000000001,-0.4217185174256344,0.0029507852728765027,14.652194592346993,0.0,0.6334946665233941
52.0,0.3771964979103808,52.0,-0.3771964979103808,0.0030074455608112226,14.652194592346993,-8.429369557916289e-08,0.6456588827882173
53.0,0.32965747348894037,53.0,-0.32965747348894037,0.003063952611405519,14.652194580841044,-8.429369557916289e-08,0.6577901999847204
54.0,0.27904342483619393,54.0,-0.27904342483619393,0.003120295647482726,14.652194580841044,0.0,0.6698863064424411
55.0,0.2252963326270223,54.99999999999999,-0.2252963326270223,0.00317646348309075,14.652194580841044,-8.429369557916289e-08,0.681944799671017
56.0,0.16835817753630677,56.0,-0.16835817753630677,0.00323244452156725,14.652194569335096,-1.6858739115832577e-07,0.6939631889301507
57.0,0.10818577313262152,57.0,-0.10818577313262152,0.0031252785431283513,14.652194557829148,-8.429369557916289e-08,0.6709560662858749
58.0,0.044870861504750656,58.0,-0.044870861504750656,0.0029600593267778415,14.652194557829148,0.0,0.6354856805434222
59.0,-0.02142279139716477,59.0,0.02142279139716477,0.002795045813966296,14.652194557829148,0.0,0.6000594566366013
60.0,-0.09053074392629612,60.0,0.09053074392629612,0.002630246301992815,14.652194557829148,0.0,0.5646791758860488
61.0,-0.16228855443581486,61.0,0.16228855443581486,0.002465665678192383,14.652194557829148,-8.429369557916289e-08,0.5293458875380994
62.0,-0.2365317812788923,62.0,0.2365317812788923,0.0023013056346388645,14.6521945463232,-1.6858739115832577e-07,0.4940599540827432
63.0,-0.31309598280869994,63.0,0.31309598280869994,0.002137164881280505,14.652194534817252,-8.429369557916289e-08,0.4588210994495209
64.0,-0.3918167173784092,64.0,0.3918167173784092,0.0019732393572166303,14.652194534817252,0.0,0.4236284524817485
65.0,-0.4725295433411913,65.0,0.4725295433411913,0.001809522439902556,14.652194534817252,0.0,0.3884805906305268
66.0,-0.5550700190502179,66.0,0.5550700190502179,0.0016460051521418584,14.652194534817252,0.0,0.35337558661024043
67.0,-0.6392737028586603,67.0,0.6392737028586603,0.0014826763667912704,14.652194534817252,0.0,0.3183110515700561
68.0,-0.7249761531196899,68.0,0.7249761531196899,0.0013195230091635386,14.652194534817252,0.0,0.2832841785471452
69.0,-0.812012928186478,69.0,0.812012928186478,0.0011565302571679285,14.652194534817252,-8.429369557916289e-08,0.24829178543420907
70.0,-0.9002195864121962,70.0,0.9002195864121962,0.000993681739276738,14.652194523311303,-8.429369557916289e-08,0.21333035714523316
71.0,-0.9894316861500156,71.0,0.9894316861500156,0.0008309597304494185,14.652194523311303,0.0,0.17839608907285368
72.0,-1.0794847857531082,72.0,1.0794847857531082,0.0006683453461838611,14.652194523311303,0.0,0.14348492657370834
73.0,-1.1702144435746447,73.0,1.1702144435746447,0.0005058187348972479,14.652194523311303,0.0,0.10859260777492076
74.0,-1.2614562179677968,74.0,1.2614562179677968,0.0003433592688667748,14.652194523311303,0.0,0.0737147041766011
75.0,-1.353045667285736,75.0,1.353045667285736,0.00018094573398363573,14.652194523311303,0.0,0.03884666138952264
76.0,-1.444818349881634,76.0,1.444818349881634,1.8556518592076295e-05,14.652194523311303,0.0,0.003983839676374806
77.0,-1.5366098241086612,77.0,1.5366098241086612,-0.0001438301983008342,14.652194523311303,-8.429369557916289e-08,-0.030878445642082412
78.0,-1.6282556483199904,78.0,1.6282556483199904,-0.0003062362591497185,14.652194511805355,-8.429369557916289e-08,-0.06574488374937597
79.0,-1.719591380868792,78.99999999999999,1.719591380868792,-0.00046868334002979833,14.652194511805355,-8.429369557916289e-08,-0.10062012836456327
80.0,-1.8104525801082372,80.0,1.8104525801082372,-0.0006311927625297744,14.652194500299407,-8.429369557916289e-08,-0.13550875669006074
81.0,-1.900674804391498,81.0,1.900674804391498,-0.0007937853050821908,14.652194500299407,0.0,-0.1704152299519661
82.0,-1.9900936120717463,82.0,1.9900936120717463,-0.0009564810134430866,14.652194500299407,0.0,-0.2053438515515424
83.0,-2.078544561502152,83.0,2.078544561502152,-0.0011192990100455877,14.652194500299407,0.0,-0.2402987268228359
84.0,-2.165863211035888,84.00000000000001,2.165863211035888,-0.0012822573019694037,14.652194500299407,0.0,-0.275283721648233
85.0,-2.251885119026125,85.0,2.251885119026125,-0.001445372587290253,14.652194500299407,0.0,-0.31030242088423726
86.0,-2.3364458438260343,86.0,2.3364458438260343,-0.001608660059599994,14.652194500299407,0.0,-0.345358086394521
